,pl_name,pl_radj,pl_bmassj,pl_dens,pl_orbincl,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassprov,pl_bmassjlim,pl_radjerr1,pl_radjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbinclerr1,pl_orbinclerr2,pl_orbpererr1,pl_orbpererr2,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_discmethod,pl_locale,pl_facility,pl_imppar,pl_rvamp,pl_disc,pl_ttvflag,pl_impparerr1,pl_impparerr2,pl_hostname,st_rad,st_mass,st_spstr,st_teff,st_metratio,st_raderr1,st_raderr2,st_masserr1,st_masserr2,pl_def_refname
407,HD 70573 b,,6.1,,,851.8,1.76,0.4,Msini,0.0,,,0.4,-0.4,,,11.6,-11.6,0.05,-0.05,Radial Velocity,Ground,La Silla Observatory,,148.5,2007,0,,,HD 70573,,1.0,G1-1.5 V,5737.0,[Fe/H],,,0.1,-0.1,Setiawan et al. 2007
408,HD 70642 b,,1.993,,,2124.54,3.318,0.175,Msini,0.0,,,0.018,-0.018,,,14.65,-13.51,0.022,-0.021,Radial Velocity,Ground,Anglo-Australian Telescope,,30.4,2003,0,,,HD 70642,0.98,1.08,G5,5732.0,[Fe/H],0.02,-0.02,0.01,-0.01,Barbato et al. 2018
409,HD 72659 b,,3.85,,,3658.0,4.75,0.22,Msini,0.0,,,0.23,-0.23,,,32.0,-32.0,0.08,-0.08,Radial Velocity,Ground,W. M. Keck Observatory,,41.0,2002,0,,,HD 72659,1.46,1.43,G2 V,5932.0,[Fe/H],0.02,-0.02,0.11,-0.11,Stassun et al. 2017
410,HD 73267 b,,3.097,,,1245.36,2.187,0.23,Msini,0.0,,,0.044,-0.043,,,2.81,-2.81,0.016,-0.016,Radial Velocity,Ground,La Silla Observatory,,64.65,2008,0,,,HD 73267,0.91,0.9,G5 V,5387.0,[Fe/H],0.03,-0.03,0.02,-0.02,Barbato et al. 2018
411,HD 73526 b,,3.08,,,188.3,0.65,0.19,Msini,0.0,,,0.31,-0.31,,,0.9,-0.9,0.01,-0.01,Radial Velocity,Ground,Anglo-Australian Telescope,,102.0,2002,0,,,HD 73526,1.53,1.14,G6 V,5601.0,[Fe/H],0.03,-0.03,0.15,-0.15,Stassun et al. 2017
412,HD 73526 c,,2.25,,,379.1,1.03,0.28,Msini,0.0,,,0.13,-0.13,,,0.5,-0.5,0.02,-0.02,Radial Velocity,Ground,Anglo-Australian Telescope,,65.1,2005,0,,,HD 73526,1.53,1.14,G6 V,5601.0,[Fe/H],0.03,-0.03,0.15,-0.15,Wittenmyer et al. 2014
413,HD 73534 b,,1.112,,,1750.0,2.99,0.126,Msini,0.0,,,0.059,-0.059,,,24.0,-24.0,0.15,-0.15,Radial Velocity,Ground,W. M. Keck Observatory,,17.11,2008,0,,,HD 73534,2.58,1.16,G5,4917.0,,,,,,Luhn et al. 2019
414,HD 74156 b,,1.8,,,51.645,0.292,0.627,Msini,0.0,,,0.06,-0.06,,,0.003,-0.003,0.004,-0.004,Radial Velocity,Ground,Haute-Provence Observatory,,109.6,2003,0,,,HD 74156,,1.24,G0,6068.0,[Fe/H],,,0.04,-0.04,Wittenmyer et al. 2009
415,HD 74156 c,,8.06,,,2473.0,3.85,0.432,Msini,0.0,,,0.37,-0.37,,,13.0,-13.0,0.054,-0.054,Radial Velocity,Ground,Haute-Provence Observatory,,116.5,2003,0,,,HD 74156,,1.24,G0,6068.0,[Fe/H],,,0.04,-0.04,Wittenmyer et al. 2009
430,Kepler-25 d,,0.226,,,122.4,,0.13,Mass,0.0,,,0.031,-0.031,,,0.8,-0.71,,,Radial Velocity,Ground,W. M. Keck Observatory,,,2014,0,,,Kepler-25,1.31,1.19,,6270.0,[Fe/H],0.02,-0.02,0.06,-0.06,Mills et al. 2019
471,HD 75289 b,,0.49,,,3.50927,0.05,0.03,Msini,0.0,,,0.03,-0.03,,,6.4e-05,-6.4e-05,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,54.9,1999,0,,,HD 75289,1.23,1.29,G0,6117.0,[Fe/H],0.02,-0.02,0.1,-0.1,Stassun et al. 2017
472,HD 75784 b,,1.0,,,341.2,1.032,0.097,Msini,0.0,,,0.14,-0.14,,,1.1,-1.1,0.066,-0.066,Radial Velocity,Ground,W. M. Keck Observatory,,24.9,2014,0,,,HD 75784,3.4,1.26,G5,4867.0,,,,,,Luhn et al. 2019
473,HD 75898 b,,2.71,,,422.9,1.191,0.11,Msini,0.0,,,0.36,-0.36,,,0.29,-0.29,0.073,-0.073,Radial Velocity,Ground,W. M. Keck Observatory,,63.39,2007,0,,,HD 75898,1.58,1.26,G0,5963.0,[Fe/H],0.11,-0.11,0.23,-0.23,Ment et al. 2018
474,HD 76700 b,,0.21,,,3.97097,0.05,0.09,Msini,0.0,,,0.03,-0.03,,,0.00023,-0.00023,0.0,0.0,Radial Velocity,Ground,Anglo-Australian Telescope,,27.6,2002,0,,,HD 76700,1.37,0.99,G6 V,5644.0,[Fe/H],0.03,-0.03,0.17,-0.17,Stassun et al. 2017
475,HD 77338 b,,0.06,,,5.7361,0.06,0.09,Msini,0.0,,,0.02,-0.02,,,0.0015,-0.0015,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,6.0,2012,0,,,HD 77338,0.97,1.37,K0 IV,5341.0,[Fe/H],0.02,-0.02,0.32,-0.32,Stassun et al. 2017
476,HD 79498 b,,1.34,,,1807.0,2.98,0.575,Msini,0.0,,,0.21,-0.21,,,15.0,-15.0,0.15,-0.15,Radial Velocity,Ground,McDonald Observatory,,26.0,2011,0,,,HD 79498,1.05,1.08,G5,5748.0,[Fe/H],0.04,-0.04,0.15,-0.15,Ment et al. 2018
477,HD 80606 b,1.07,4.38,,89.29,111.4367,,0.93,Mass,0.0,0.03,-0.03,0.74,-0.74,0.02,-0.02,0.0004,-0.0004,,,Radial Velocity,Ground,Multiple Observatories,,472.0,2001,0,,,HD 80606,1.04,1.15,G5,5561.0,[Fe/H],0.02,-0.02,0.27,-0.27,Stassun et al. 2017
478,HD 81040 b,,7.27,,,1001.70001,1.94,0.53,Msini,0.0,,,0.98,-0.98,,,7.0,-7.0,0.03,-0.03,Radial Velocity,Ground,Multiple Observatories,,168.0,2005,0,,,HD 81040,0.91,1.05,G2/G3,5755.0,[Fe/H],0.01,-0.01,0.19,-0.19,Stassun et al. 2017
479,HD 81688 b,,2.7,,,184.02,0.81,0.0,Msini,0.0,,,,,,,0.18,-0.18,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,58.58,2007,0,,,HD 81688,13.0,2.1,G5,4753.0,[Fe/H],,,,,Sato et al. 2008
480,HD 82943 b,,1.681,,90.0,441.47,1.18306,0.162,Mass,0.0,,,0.028,-0.028,,,0.35,-0.35,0.00062,-0.00062,Radial Velocity,Ground,La Silla Observatory,,41.91,2003,0,,,HD 82943,,1.2,G2/3 V,6016.0,[Fe/H],,,,,Baluev & Beaug&eacute; 2014
481,HD 82943 c,,1.959,,90.0,220.078,0.74345,0.3663,Mass,0.0,,,0.047,-0.047,,,0.051,-0.051,0.00011999999999999999,-0.00011999999999999999,Radial Velocity,Ground,La Silla Observatory,,65.4,2003,0,,,HD 82943,,1.2,G2/3 V,6016.0,[Fe/H],,,,,Baluev & Beaug&eacute; 2014
482,HD 82886 b,,2.33,,,705.0,1.58,0.07,Msini,0.0,,,0.33,-0.33,,,34.0,-34.0,0.08,-0.08,Radial Velocity,Ground,W. M. Keck Observatory,,28.7,2011,0,,,HD 82886,5.26,2.53,G0,4953.0,[Fe/H],0.31,-0.31,0.46,-0.46,Stassun et al. 2017
483,HD 83443 b,,0.34,,,2.9857,0.04,0.01,Msini,0.0,,,0.02,-0.02,,,5.7e-05,-5.7e-05,0.0,0.0,Radial Velocity,Ground,Multiple Observatories,,56.2,2002,0,,,HD 83443,0.94,0.79,K0/1 V + G (III),5442.0,[Fe/H],0.02,-0.02,0.07,-0.07,Stassun et al. 2017
484,HD 85390 b,,0.099,,,799.52,1.373,0.5,Msini,0.0,,,0.01,-0.01,,,2.41,-2.41,0.035,-0.035,Radial Velocity,Ground,La Silla Observatory,,3.8,2009,0,,,HD 85390,,0.76,K1 V,5186.0,,,,,,Wittenmyer et al. 2019
485,HD 85512 b,,0.01,,,58.43,0.26,0.11,Msini,0.0,,,0.0,0.0,,,0.13,-0.13,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,0.8,2011,0,,,HD 85512,0.71,0.43,K5 V,4300.0,[Fe/H],0.02,-0.02,0.1,-0.1,Stassun et al. 2017
486,HD 86081 b,,1.48,,,2.1378431,0.0346,0.0119,Msini,0.0,,,0.23,-0.23,,,3.1e-06,-3.1e-06,0.0027,-0.0027,Radial Velocity,Ground,W. M. Keck Observatory,,205.53,2006,0,,,HD 86081,1.46,1.21,F8,5939.0,[Fe/H],0.14,-0.14,0.28,-0.28,Ment et al. 2018
487,HD 86226 b,,0.45,,,1628.0,2.73,0.059,Mass,0.0,,,0.04,-0.05,,,22.0,-21.0,0.06,-0.06,Radial Velocity,Ground,Las Campanas Observatory,,7.74,2009,0,,,HD 86226,1.05,1.02,G1 V,5863.0,[Fe/H],0.03,-0.03,0.06,-0.07,Teske et al. 2020
488,HD 86264 b,,7.0,,,1475.0,2.86,0.7,Msini,0.0,,,1.6,-1.6,,,55.0,-55.0,0.07,-0.07,Radial Velocity,Ground,Lick Observatory,,132.0,2009,0,,,HD 86264,1.88,1.42,F7 V,6210.0,[Fe/H],0.12,-0.12,0.05,-0.05,Fischer et al. 2009
507,51 Peg b,,0.472,,,4.230785,0.0527,0.013,Msini,0.0,,,0.039,-0.039,,,3.6e-05,-3.6e-05,0.003,-0.003,Radial Velocity,Ground,Haute-Provence Observatory,,55.94,1995,0,,,51 Peg,1.2,1.12,G2.5 IV,5793.0,[Fe/H],,,0.06,-0.06,Butler et al. 2006
508,55 Cnc b,,0.8036,,,14.6516,0.1134,0.0,Msini,0.0,,,0.0092,-0.0091,,,0.0001,-0.0001,0.0006,-0.0006,Radial Velocity,Ground,Lick Observatory,,71.37,1996,0,,,55 Cnc,0.94,0.91,G8 V,5172.0,[Fe/H],0.01,-0.01,0.01,-0.01,Bourrier et al. 2018
509,55 Cnc c,,0.1611,,,44.3989,0.2373,0.03,Msini,0.0,,,0.004,-0.004,,,0.0042,-0.0043,0.0013,-0.0013,Radial Velocity,Ground,McDonald Observatory,,9.89,2004,0,,,55 Cnc,0.94,0.91,G8 V,5172.0,[Fe/H],0.01,-0.01,0.01,-0.01,Bourrier et al. 2018
510,55 Cnc d,,3.12,,,5574.2,5.957,0.13,Msini,0.0,,,0.1,-0.1,,,93.8,-88.6,0.074,-0.071,Radial Velocity,Ground,Lick Observatory,,38.6,2002,0,,,55 Cnc,0.94,0.91,G8 V,5172.0,[Fe/H],0.01,-0.01,0.01,-0.01,Bourrier et al. 2018
511,55 Cnc e,0.16699999999999998,0.02514,6.66,83.59,0.7365474,0.01544,0.05,Mass,0.0,0.003,-0.003,0.00101,-0.0010400000000000001,0.47,-0.44,1.3e-06,-1.4e-06,5e-05,-5e-05,Radial Velocity,Ground,McDonald Observatory,0.39,6.02,2004,0,0.03,-0.03,55 Cnc,0.94,0.91,G8 V,5172.0,[Fe/H],0.01,-0.01,0.01,-0.01,Bourrier et al. 2018
512,55 Cnc f,,0.1503,,,259.88,0.7708,0.08,Msini,0.0,,,0.0076,-0.0076,,,0.29,-0.29,0.0043,-0.0044,Radial Velocity,Ground,Multiple Observatories,,5.14,2007,0,,,55 Cnc,0.94,0.91,G8 V,5172.0,[Fe/H],0.01,-0.01,0.01,-0.01,Bourrier et al. 2018
513,61 Vir b,,0.016,,,4.215,0.050200999999999996,0.12,Msini,0.0,,,0.002,-0.002,,,0.0006,-0.0006,5e-06,-5e-06,Radial Velocity,Ground,Multiple Observatories,,2.12,2009,0,,,61 Vir,0.96,0.94,G5 V,5577.0,[Fe/H],0.01,-0.01,0.03,-0.03,Vogt et al. 2010
514,61 Vir c,,0.057,,,38.021,0.2175,0.14,Msini,0.0,,,0.003,-0.003,,,0.034,-0.034,0.0001,-0.0001,Radial Velocity,Ground,Multiple Observatories,,3.62,2009,0,,,61 Vir,0.96,0.94,G5 V,5577.0,[Fe/H],0.01,-0.01,0.03,-0.03,Vogt et al. 2010
515,61 Vir d,,0.072,,,123.01,0.476,0.35,Msini,0.0,,,0.008,-0.008,,,0.55,-0.55,0.001,-0.001,Radial Velocity,Ground,Multiple Observatories,,3.25,2009,0,,,61 Vir,0.96,0.94,G5 V,5577.0,[Fe/H],0.01,-0.01,0.03,-0.03,Vogt et al. 2010
516,70 Vir b,,7.416,,,116.688,0.481,0.3988,Msini,0.0,,,0.057,-0.057,,,0.0054,-0.0054,0.022,-0.022,Radial Velocity,Ground,Lick Observatory,,316.2,1996,0,,,70 Vir,1.89,1.09,G4 V,5495.0,,,,,,Luhn et al. 2019
517,75 Cet b,,3.0,,,691.9,2.1,0.117,Msini,0.0,,,,,,,3.6,-3.6,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,38.3,2012,0,,,75 Cet,10.5,2.49,G3 III,4846.0,[Fe/H],1.0,-1.0,0.02,-0.27,Sato et al. 2012
518,81 Cet b,,5.3,,,952.7,2.5,0.206,Msini,0.0,,,,,,,8.8,-8.8,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,62.8,2008,0,,,81 Cet,11.0,2.4,G5 III,4785.0,[Fe/H],2.0,-1.0,0.1,-0.4,Sato et al. 2008
519,91 Aqr b,,3.2,,,181.4,0.7,0.027,Msini,0.0,,,,,,,0.1,-0.1,,,Radial Velocity,Ground,Lick Observatory,,91.5,2013,0,,,91 Aqr,11.0,1.4,K0 III,4665.0,[Fe/H],0.1,-0.1,0.1,-0.1,Mitchell et al. 2013
543,HD 87883 b,,1.54,,,2754.0,3.58,0.53,Msini,0.0,,,0.26,-0.26,,,87.0,-87.0,0.1,-0.1,Radial Velocity,Ground,Lick Observatory,,34.7,2009,0,,,HD 87883,0.79,0.66,K2.5 V,4915.0,[Fe/H],0.03,-0.03,0.09,-0.09,Stassun et al. 2017
544,HD 88133 b,,0.2845,,,3.414884,0.0479,0.031,Msini,0.0,,,0.0063,-0.0063,,,3e-05,-3e-05,0.0033,-0.0033,Radial Velocity,Ground,W. M. Keck Observatory,,32.93,2004,0,,,HD 88133,2.2,1.26,G5,5392.0,,,,,,Luhn et al. 2019
545,HD 89307 b,,2.11,,,2166.0,3.27,0.2,Msini,0.0,,,0.21,-0.21,,,38.0,-38.0,0.07,-0.07,Radial Velocity,Ground,Lick Observatory,,28.9,2009,0,,,HD 89307,1.1,1.27,G0,5955.0,[Fe/H],0.01,-0.01,0.12,-0.12,Stassun et al. 2017
546,HD 89744 b,,8.35,,,256.78,0.917,0.677,Msini,0.0,,,0.18,-0.18,,,0.02,-0.02,0.009,-0.009,Radial Velocity,Ground,Fred Lawrence Whipple Observatory,,269.66,1999,0,,,HD 89744,,1.86,F7 V,6291.0,,,,,,Wittenmyer et al. 2019
547,HD 90156 b,,0.057,,,49.77,0.25,0.31,Msini,0.0,,,0.005,-0.005,,,0.07,-0.07,0.004,-0.004,Radial Velocity,Ground,La Silla Observatory,,3.69,2009,0,,,HD 90156,,0.84,G5 V,5599.0,[Fe/H],,,,,Mordasini et al. 2011
548,HD 92788 b,,3.76,,,325.803,0.97,0.35,Msini,0.0,,,0.16,-0.15,,,0.036525,-0.036525,0.02,-0.02,Radial Velocity,Ground,Multiple Observatories,,108.24,2000,0,,,HD 92788,1.14,1.15,G6 V,5744.0,[Fe/H],0.02,-0.02,0.07,-0.07,Rickman et al. 2019
549,HD 93083 b,,0.37,,,143.58,0.477,0.14,Msini,0.0,,,,,,,0.6,-0.6,,,Radial Velocity,Ground,La Silla Observatory,,18.3,2005,0,,,HD 93083,,0.7,K3 V,4995.0,[Fe/H],,,0.04,-0.04,Lovis et al. 2005
551,HD 95089 b,,1.26,,,464.4,1.36,0.119,Msini,0.0,,,0.085,-0.085,,,3.8,-3.8,0.13,-0.13,Radial Velocity,Ground,W. M. Keck Observatory,,25.0,2009,0,,,HD 95089,5.08,1.54,G8/K0 IV,4918.0,,,,,,Luhn et al. 2019
552,HD 95127 b,,10.63,,,482.0,1.28,0.11,Msini,0.0,,,8.06,-8.06,,,5.0,-5.0,0.08,-0.08,Radial Velocity,Ground,McDonald Observatory,,116.0,2015,0,,,HD 95127,41.01,3.7,K0,4218.0,[Fe/H],18.22,-18.22,4.16,-4.16,Stassun et al. 2017
553,HD 96063 b,,1.27,,,362.5,1.11,0.17,Msini,0.0,,,0.27,-0.27,,,2.2,-2.2,0.14,-0.14,Radial Velocity,Ground,W. M. Keck Observatory,,29.6,2011,0,,,HD 96063,4.75,1.37,G6 V,5020.0,,,,,,Luhn et al. 2019
554,HD 96167 b,,0.717,,,498.04,1.332,0.685,Msini,0.0,,,0.04,-0.04,,,0.76,-0.76,0.098,-0.098,Radial Velocity,Ground,W. M. Keck Observatory,,21.5,2009,0,,,HD 96167,1.94,1.27,G5,5733.0,,,,,,Luhn et al. 2019
555,HD 96127 b,,20.96,,,647.29999,1.42,0.3,Msini,0.0,,,12.99,-12.99,,,17.0,-17.0,0.13,-0.13,Radial Velocity,Ground,McDonald Observatory,,104.8,2011,0,,,HD 96127,51.1,10.94,K2 III,3943.0,[Fe/H],22.81,-22.81,10.02,-10.02,Stassun et al. 2017
556,HD 97658 b,0.21,0.02795,,89.45,9.4909,,0.06,Mass,0.0,0.01,-0.01,0.00387,-0.00387,0.4,-0.4,0.0016,-0.0016,,,Radial Velocity,Ground,W. M. Keck Observatory,,2.9,2010,0,,,HD 97658,0.74,0.89,K1,5175.0,[Fe/H],0.01,-0.01,0.15,-0.15,Stassun et al. 2017
557,HD 98219 b,,1.964,,,433.8,1.26,0.079,Msini,0.0,,,0.099,-0.099,,,2.0,-2.0,0.12,-0.12,Radial Velocity,Ground,W. M. Keck Observatory,,42.0,2011,0,,,HD 98219,4.6,1.41,K0 III/IV,4925.0,,,,,,Luhn et al. 2019
558,HD 98649 b,,6.79,,,6022.9725,6.57,0.86,Msini,0.0,,,0.53,-0.31,,,412.7325,-255.675,0.31,-0.23,Radial Velocity,Ground,La Silla Observatory,,140.1,2012,0,,,HD 98649,1.01,1.03,G3/G5 V,5790.0,[Fe/H],0.02,-0.02,0.06,-0.06,Rickman et al. 2019
559,HD 99109 b,,0.44,,,439.29999,1.11,0.09,Msini,0.0,,,0.08,-0.08,,,5.6,-5.6,0.02,-0.02,Radial Velocity,Ground,W. M. Keck Observatory,,14.1,2005,0,,,HD 99109,0.98,0.76,G8/K0 IV,5282.0,[Fe/H],0.02,-0.02,0.1,-0.1,Stassun et al. 2017
560,HD 99492 b,,0.07,,,17.0431,0.12,0.25,Msini,0.0,,,0.05,-0.05,,,0.0047,-0.0047,0.0,0.0,Radial Velocity,Ground,W. M. Keck Observatory,,9.8,2004,0,,,HD 99492,0.83,0.48,K2/4,4815.0,[Fe/H],0.07,-0.07,0.51,-0.51,Stassun et al. 2017
563,HIP 79431 b,,2.1,,,111.7,0.36,0.29,Msini,0.0,,,,,,,0.7,-0.7,,,Radial Velocity,Ground,W. M. Keck Observatory,,149.5,2009,0,,,HIP 79431,0.54,0.42,M3 V,3368.0,,,,,,Apps et al. 2010
564,HIP 91258 b,,1.09,,,5.0505,0.06,0.02,Msini,0.0,,,0.21,-0.21,,,0.0015,-0.0015,0.0,0.0,Radial Velocity,Ground,Haute-Provence Observatory,,130.9,2013,0,,,HIP 91258,0.89,0.97,G5 V,5519.0,[Fe/H],0.03,-0.03,0.28,-0.28,Stassun et al. 2017
565,HIP 97233 b,,20.0,,,1058.8,2.55,0.61,Msini,0.0,,,0.4,-0.4,,,6.7,-6.7,0.05,-0.05,Radial Velocity,Ground,Multiple Observatories,,320.1,2014,0,,,HIP 97233,5.34,1.93,K0,5020.0,[Fe/H],0.55,-0.55,0.11,-0.11,Jones et al. 2015
566,HIP 105854 b,,8.2,,,184.2,0.81,0.02,Msini,0.0,,,0.2,-0.2,,,0.5,-0.5,0.03,-0.03,Radial Velocity,Ground,Multiple Observatories,,178.1,2014,0,,,HIP 105854,,2.1,K2 III,4780.0,[Fe/H],,,0.1,-0.1,Jones et al. 2014
568,HR 810 b,,2.27,,,302.79999,0.92,0.14,Msini,0.0,,,0.25,-0.25,,,2.3,-2.3,0.02,-0.02,Radial Velocity,Ground,La Silla Observatory,,57.1,1999,0,,,HR 810,1.13,1.34,G0 V,6167.0,[Fe/H],0.02,-0.02,0.13,-0.13,Stassun et al. 2017
579,kap CrB b,,1.811,,,1285.0,2.65,0.167,Msini,0.0,,,0.057,-0.057,,,14.0,-14.0,0.13,-0.13,Radial Velocity,Ground,Lick Observatory,,26.18,2007,0,,,kap CrB,4.85,1.5,K0 III-IV,4871.0,,,,,,Luhn et al. 2019
581,mu Leo b,,2.4,,,357.8,1.1,0.09,Msini,0.0,,,0.4,-0.4,,,1.2,-1.2,0.1,-0.1,Radial Velocity,Ground,Bohyunsan Optical Astronomical Observatory,,52.0,2014,0,,,mu Leo,11.4,1.5,K2 III,4538.2,[Fe/H],0.2,-0.2,0.1,-0.1,Lee et al. 2014
582,nu Oph b,,22.206,,90.0,530.21,1.79,0.124,Mass,0.0,,,,,,,0.1,-0.1,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,288.26,2012,0,,,nu Oph,14.6,2.7,K0 III,4886.0,[Fe/H],0.3,-0.3,0.2,-0.2,Quirrenbach et al. 2019
583,nu Oph c,,24.662,,90.0,3184.83,5.931,0.18,Mass,0.0,,,,,,,5.93,-5.93,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,176.73,2012,0,,,nu Oph,14.6,2.7,K0 III,4886.0,[Fe/H],0.3,-0.3,0.2,-0.2,Quirrenbach et al. 2019
584,ome Ser b,,1.7,,,277.02,1.1,0.106,Msini,0.0,,,,,,,0.52,-0.51,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,31.8,2013,0,,,ome Ser,12.3,2.17,G8 III,4770.0,[Fe/H],0.88,-0.82,0.21,-0.29,Sato et al. 2013
585,omi CrB b,,1.5,,,187.83,0.83,0.191,Msini,0.0,,,,,,,0.54,-0.54,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,32.25,2012,0,,,omi CrB,10.5,2.13,K0,4749.0,,0.7,,0.23,,Sato et al. 2012
586,omi UMa b,,4.1,,,1630.0,3.9,0.13,Msini,0.0,,,,,,,35.0,-35.0,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,33.6,2012,0,,,omi UMa,14.1,3.09,G5 III,5242.0,,1.0,,0.07,,Sato et al. 2012
587,tau Boo b,,4.32,,,3.3124568,0.049,0.011,Msini,0.0,,,0.04,-0.04,,,6.9e-06,-6.9e-06,0.003,-0.003,Radial Velocity,Ground,Roque de los Muchachos Observatory,,471.73,1996,0,,,tau Boo,1.46,1.34,F7 V,6400.0,[Fe/H],0.05,-0.05,0.05,-0.05,Borsa et al. 2015
588,tau Gem b,,20.6,,,305.5,1.17,0.031,Msini,0.0,,,,,,,0.1,-0.1,,,Radial Velocity,Ground,Lick Observatory,,350.2,2013,0,,,tau Gem,26.8,2.3,K2 III,4388.0,[Fe/H],0.7,-0.7,0.3,-0.3,Mitchell et al. 2013
589,ups And b,,0.6876,,,4.617033,0.059222000000000004,0.0215,Msini,0.0,,,0.0044,-0.0044,,,2.3e-05,-2.3e-05,0.0,-0.0,Radial Velocity,Ground,Lick Observatory,,70.51,1996,0,,,ups And,1.56,1.3,F8 V,,,,,,,Curiel et al. 2011
590,ups And c,,1.981,,,241.258,0.827774,0.2596,Msini,0.0,,,0.019,-0.019,,,0.064,-0.064,1.4999999999999999e-05,-1.4999999999999999e-05,Radial Velocity,Ground,Multiple Observatories,,68.14,1999,0,,,ups And,1.56,1.3,F8 V,,,,,,,Curiel et al. 2011
591,ups And d,,4.132,,,1276.46,2.51329,0.2987,Msini,0.0,,,0.029,-0.029,,,0.57,-0.57,0.00075,-0.00075,Radial Velocity,Ground,Multiple Observatories,,56.26,1999,0,,,ups And,1.56,1.3,F8 V,,,,,,,Curiel et al. 2011
592,xi Aql b,,2.8,,,136.75,0.68,0.0,Msini,0.0,,,,,,,0.25,-0.25,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,65.4,2007,0,,,xi Aql,12.0,2.2,G9 III,4780.0,[Fe/H],,,,,Sato et al. 2008
593,Kapteyn c,,0.022,,,121.54,0.311,0.23,Msini,0.0,,,0.004,-0.003,,,0.25,-0.25,0.038,-0.014,Radial Velocity,Ground,Multiple Observatories,,2.27,2014,0,,,Kapteyn,0.29,0.28,M0 V,3550.0,[M/H],0.03,-0.03,0.01,-0.01,Anglada-Escud&eacute; et al. 2014
615,HD 99706 b,,1.23,,,841.0,1.98,0.25,Msini,0.0,,,0.19,-0.19,,,32.0,-32.0,0.14,-0.14,Radial Velocity,Ground,W. M. Keck Observatory,,21.2,2011,0,,,HD 99706,5.52,1.46,K0,4862.0,,,,,,Luhn et al. 2019
617,HD 100655 b,,1.61,,,157.57001,0.68,0.09,Msini,0.0,,,0.34,-0.34,,,0.65,-0.65,0.04,-0.04,Radial Velocity,Ground,Bohyunsan Optical Astronomical Observatory,,35.2,2011,0,,,HD 100655,10.06,2.28,G9 III,4891.0,[Fe/H],0.86,-0.86,0.69,-0.69,Stassun et al. 2017
618,HD 100777 b,,1.03,,,383.70001,1.03,0.36,Msini,0.0,,,0.04,-0.04,,,1.2,-1.2,0.03,-0.03,Radial Velocity,Ground,La Silla Observatory,,34.9,2007,0,,,HD 100777,1.04,0.83,G8 V,5533.0,[Fe/H],0.02,-0.02,0.04,-0.04,Stassun et al. 2017
619,HD 101930 b,,0.25,,,70.46,0.3,0.11,Msini,0.0,,,0.02,-0.02,,,0.18,-0.18,0.01,-0.01,Radial Velocity,Ground,La Silla Observatory,,18.1,2005,0,,,HD 101930,0.86,0.57,K1 V,5108.0,[Fe/H],0.02,-0.02,0.07,-0.07,Stassun et al. 2017
620,HD 102117 b,,0.17,,,20.8133,0.15,0.12,Msini,0.0,,,0.01,-0.01,,,0.0064,-0.0064,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,12.0,2005,0,,,HD 102117,1.23,1.06,G6 V,5655.0,[Fe/H],0.02,-0.02,0.07,-0.07,Stassun et al. 2017
621,HD 102195 b,,0.41,,,4.11377,0.05,0.0,Msini,0.0,,,0.02,-0.02,,,0.00056,-0.00056,0.0,0.0,Radial Velocity,Ground,Kitt Peak National Observatory,,63.0,2006,0,,,HD 102195,0.82,0.76,K0 V,5301.0,[Fe/H],0.01,-0.01,0.04,-0.04,Stassun et al. 2017
622,HD 102272 b,,4.94,,,127.58,0.51,0.05,Msini,0.0,,,0.64,-0.64,,,0.3,-0.3,0.03,-0.03,Radial Velocity,Ground,McDonald Observatory,,155.5,2008,0,,,HD 102272,10.3,1.45,K0,4790.0,[Fe/H],0.97,-0.97,0.27,-0.27,Stassun et al. 2017
623,HD 102365 b,,0.05,,,122.1,0.46,0.34,Msini,0.0,,,0.008,-0.008,,,0.3,-0.3,0.04,-0.04,Radial Velocity,Ground,Anglo-Australian Telescope,,2.3,2010,0,,,HD 102365,,0.85,G3/5 V,5630.0,[Fe/H],,,,,Tinney et al. 2011
624,HD 102329 b,,8.16,,,778.09998,1.81,0.21,Msini,0.0,,,2.19,-2.19,,,7.5,-7.5,0.07,-0.07,Radial Velocity,Ground,W. M. Keck Observatory,,84.8,2011,0,,,HD 102329,9.82,3.21,K0 III,4745.0,[Fe/H],0.75,-0.75,1.28,-1.28,Stassun et al. 2017
