,pl_name,pl_radj,pl_bmassj,pl_dens,pl_orbincl,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassprov,pl_bmassjlim,pl_radjerr1,pl_radjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbinclerr1,pl_orbinclerr2,pl_orbpererr1,pl_orbpererr2,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_discmethod,pl_locale,pl_facility,pl_imppar,pl_rvamp,pl_disc,pl_ttvflag,pl_impparerr1,pl_impparerr2,pl_hostname,st_rad,st_mass,st_spstr,st_teff,st_metratio,st_raderr1,st_raderr2,st_masserr1,st_masserr2,pl_def_refname
310,18 Del b,,10.3,,,993.3,2.6,0.08,Msini,0.0,,,,,,,3.2,-3.2,,,Radial Velocity,Ground,Okayama Astrophysical Observatory,,119.4,2008,0,,,18 Del,8.5,2.3,G6 III,4979.0,[Fe/H],,,,,Sato et al. 2008
311,24 Sex b,,1.99,,,452.8,1.333,0.09,Msini,0.0,,,0.26,-0.38,,,2.1,-4.5,0.004,-0.009,Radial Velocity,Ground,Lick Observatory,,40.0,2010,0,,,24 Sex,4.9,1.54,K0 IV,5098.0,[Fe/H],0.08,-0.08,0.08,-0.08,Johnson et al. 2010
312,24 Sex c,,0.86,,,883.0,2.08,0.29,Msini,0.0,,,0.35,-0.22,,,32.4,-13.8,0.05,-0.02,Radial Velocity,Ground,Lick Observatory,,14.5,2010,0,,,24 Sex,4.9,1.54,K0 IV,5098.0,[Fe/H],0.08,-0.08,0.08,-0.08,Johnson et al. 2010
313,30 Ari B b,,13.82,,,335.10001,0.99,0.29,Msini,0.0,,,1.8,-1.8,,,2.5,-2.5,0.02,-0.02,Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,,272.0,2009,0,,,30 Ari B,1.41,1.93,F6 V,6331.0,[Fe/H],0.05,-0.05,0.27,-0.27,Stassun et al. 2017
314,42 Dra b,,3.88,,,479.1,1.19,0.38,Msini,0.0,,,0.85,-0.85,,,6.2,-6.2,0.01,-0.01,Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,,110.5,2008,0,,,42 Dra,22.03,0.98,K1.5 III,4200.0,[Fe/H],1.0,-1.0,0.05,-0.05,Doellinger et al. 2009
315,47 UMa b,,2.53,,,1078.0,2.1,0.032,Msini,0.0,,,0.07,-0.06,,,2.0,-2.0,0.02,-0.02,Radial Velocity,Ground,Lick Observatory,,48.4,1996,0,,,47 UMa,1.23,1.03,G0 V,5892.0,[Fe/H],,,0.05,-0.05,Gregory & Fischer 2010
316,47 UMa c,,0.54,,,2391.0,3.6,0.098,Msini,0.0,,,0.066,-0.073,,,100.0,-87.0,0.1,-0.1,Radial Velocity,Ground,Lick Observatory,,8.0,2001,0,,,47 UMa,1.23,1.03,G0 V,5892.0,[Fe/H],,,0.05,-0.05,Gregory & Fischer 2010
317,47 UMa d,,1.64,,,14002.0,11.6,0.16,Msini,0.0,,,0.29,-0.48,,,4018.0,-5095.0,2.1,-2.9,Radial Velocity,Ground,Lick Observatory,,13.8,2009,0,,,47 UMa,1.23,1.03,G0 V,5892.0,[Fe/H],,,0.05,-0.05,Gregory & Fischer 2010
336,HD 45364 c,,0.6579,,,342.85,0.8972,0.0974,Msini,0.0,,,,,,,0.28,-0.28,,,Radial Velocity,Ground,La Silla Observatory,,21.92,2008,0,,,HD 45364,,0.82,K0 V,5434.0,[Fe/H],,,0.05,-0.05,Correia et al. 2009
337,HD 45350 b,,1.79,,,963.6,1.92,0.778,Msini,0.0,,,0.14,-0.14,,,3.4,-3.4,0.07,-0.07,Radial Velocity,Ground,W. M. Keck Observatory,,58.0,2004,0,,,HD 45350,,1.02,G5 V,5616.0,[Fe/H],,,,,Wittenmyer et al. 2007
338,HD 45652 b,,0.433,,,44.073,0.237,0.607,Msini,0.0,,,0.076,-0.076,,,0.0048,-0.0048,0.011,-0.011,Radial Velocity,Ground,Haute-Provence Observatory,,33.2,2008,0,,,HD 45652,0.94,0.92,G8/K0,5294.0,[Fe/H],0.04,-0.04,0.13,-0.13,Ment et al. 2018
339,HD 46375 b,,0.226,,,3.023573,0.0398,0.063,Msini,0.0,,,0.019,-0.019,,,6.5e-05,-6.5e-05,0.0023,-0.0023,Radial Velocity,Ground,W. M. Keck Observatory,,33.65,2000,0,,,HD 46375,,0.92,K1 IV-V,5285.0,[Fe/H],,,,,Butler et al. 2006
340,HD 47186 b,,0.07,,,4.0845,0.05,0.04,Msini,0.0,,,0.0,0.0,,,0.0002,-0.0002,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,9.1,2008,0,,,HD 47186,1.08,0.96,G5 V,5657.0,[Fe/H],0.01,-0.01,0.05,-0.05,Stassun et al. 2017
341,HD 47186 c,,0.35061,,,1353.6,2.395,0.249,Msini,0.0,,,,,,,57.1,-57.1,,,Radial Velocity,Ground,La Silla Observatory,,6.65,2008,0,,,HD 47186,1.08,0.96,G5 V,5657.0,[Fe/H],0.01,-0.01,0.05,-0.05,Bouchy et al. 2009
342,HD 47536 b,,7.32,,,712.13,1.93,0.2,Msini,0.0,,,2.36,-2.36,,,0.31,-0.31,0.32,-0.32,Radial Velocity,Ground,La Silla Observatory,,113.0,2002,0,,,HD 47536,22.39,0.91,K1 III,4424.0,[Fe/H],1.05,-1.05,0.03,-0.03,Setiawan et al. 2003
343,HD 48265 b,,1.525,,,778.51,1.814,0.211,Msini,0.0,,,0.049,-0.05,,,5.38,-5.18,0.03,-0.031,Radial Velocity,Ground,Las Campanas Observatory,,28.65,2008,0,,,HD 48265,1.9,1.31,G5 IV/V,5733.0,[Fe/H],0.13,-0.13,0.06,-0.06,Barbato et al. 2018
344,HD 49674 b,,0.1,,,4.94737,0.06,0.09,Msini,0.0,,,0.01,-0.01,,,0.00098,-0.00098,0.0,0.0,Radial Velocity,Ground,W. M. Keck Observatory,,12.0,2002,0,,,HD 49674,1.02,1.03,G5 V,5602.0,[Fe/H],0.01,-0.01,0.11,-0.11,Stassun et al. 2017
345,HD 50499 b,,1.636,,,2447.1,3.833,0.266,Msini,0.0,,,0.017,-0.017,,,21.92,-21.72,0.0305,-0.03,Radial Velocity,Ground,W. M. Keck Observatory,,21.99,2005,0,,,HD 50499,1.35,1.25,G1 V,6102.0,[Fe/H],0.05,-0.05,0.02,-0.02,Barbato et al. 2018
346,HD 50554 b,,4.954,,,1293.0,2.353,0.501,Msini,0.0,,,0.389,-0.389,,,37.0,-37.0,0.0452,-0.0452,Radial Velocity,Ground,Lick Observatory,,104.0,2002,0,,,HD 50554,1.02,1.04,F8,5987.0,[Fe/H],0.02,-0.02,0.01,-0.01,Liu et al. 2014
347,HD 52265 b,,1.21,,,119.27,0.52,0.27,Msini,0.0,,,0.05,-0.05,,,0.02,-0.02,0.009,-0.009,Radial Velocity,Ground,W. M. Keck Observatory,,42.97,2000,0,,,HD 52265,,1.2,G0 V,6136.0,,,,,,Wittenmyer et al. 2019
348,HD 60532 b,,1.06,,,201.9,0.77,0.26,Msini,0.0,,,0.08,-0.08,,,0.3,-0.3,0.02,-0.02,Radial Velocity,Ground,La Silla Observatory,,29.1,2008,0,,,HD 60532,2.57,1.5,F6 IV,6245.0,[Fe/H],0.12,-0.12,0.09,-0.09,Borgniet et al. 2017
349,HD 60532 c,,2.51,,,600.1,1.6,0.03,Msini,0.0,,,0.16,-0.16,,,2.4,-2.4,0.04,-0.04,Radial Velocity,Ground,La Silla Observatory,,46.1,2008,0,,,HD 60532,2.57,1.5,F6 IV,6245.0,[Fe/H],0.12,-0.12,0.09,-0.09,Borgniet et al. 2017
350,HD 62509 b,,2.3,,,589.64,1.64,0.02,Msini,0.0,,,0.45,-0.45,,,0.81,-0.81,0.27,-0.27,Radial Velocity,Ground,Multiple Observatories,,41.0,2006,0,,,HD 62509,8.31,2.1,K0 III,4946.0,[Fe/H],0.09,-0.09,0.08,-0.08,Hatzes et al. 2006
351,HD 63454 b,,0.25,,,2.81805,0.04,0.0,Msini,0.0,,,0.01,-0.01,,,7.1e-05,-7.1e-05,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,64.2,2005,0,,,HD 63454,0.77,0.42,K4 V,4812.0,[Fe/H],0.01,-0.01,0.03,-0.03,Stassun et al. 2017
352,HD 63765 b,,0.53,,,358.0,0.94,0.24,Msini,0.0,,,0.03,-0.03,,,1.0,-1.0,0.02,-0.02,Radial Velocity,Ground,La Silla Observatory,,20.9,2009,0,,,HD 63765,0.83,0.65,G9 V,5449.0,[Fe/H],0.01,-0.01,0.01,-0.01,Stassun et al. 2017
353,HD 65216 b,,1.295,,,577.6,1.301,0.27,Msini,0.0,,,0.062,-0.062,,,1.328,-1.328,0.02,-0.02,Radial Velocity,Ground,La Silla Observatory,,35.7,2003,0,,,HD 65216,,0.87,G5 V,5612.0,,,,,,Wittenmyer et al. 2019
371,alf Ari b,,1.8,,,380.8,1.2,0.25,Msini,0.0,,,0.2,-0.2,,,0.3,-0.3,,,Radial Velocity,Ground,Bohyunsan Optical Astronomical Observatory,,41.1,2010,0,,,alf Ari,13.9,1.5,K1 IIIb,4553.0,,0.3,,0.2,,Lee et al. 2011
372,bet Cnc b,,7.8,,,605.2,1.7,0.08,Msini,0.0,,,0.8,-0.8,,,4.0,-4.0,0.1,-0.1,Radial Velocity,Ground,Bohyunsan Optical Astronomical Observatory,,133.0,2014,0,,,bet Cnc,47.2,1.7,K4 III,4092.1,[Fe/H],1.3,-1.3,0.1,-0.1,Lee et al. 2014
374,bet UMi b,,6.1,,,522.3,1.4,0.19,Msini,0.0,,,1.0,-1.0,,,2.7,-2.7,0.1,-0.1,Radial Velocity,Ground,Bohyunsan Optical Astronomical Observatory,,126.1,2014,0,,,bet UMi,38.3,1.4,K4 III,4126.0,[Fe/H],1.1,-1.1,0.2,-0.2,Lee et al. 2014
