,pl_name,pl_discmethod,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbinclref,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_teff,pl_facility,pl_locale,pl_bmassjlim,st_spstr,pl_ttvflag,er,em,ep,ea,ers,ems,mmax,mmin,orbsmax,Pet,reli
496,Kepler-1246 b,Transit,0.121,0.018000000000000002,-0.02,Morton et al. 2016,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,11.32271513,8.852e-05,-8.852e-05,Morton et al. 2016,,,,Morton et al. 2016,0.69,0.02,-0.04,Morton et al. 2016,0.73,0.031,-0.044000000000000004,Morton et al. 2016,[Fe/H],4611.0,Kepler,Space,,,0,0.15702479338842978,,7.817912840133425e-06,,0.043478260869565216,0.051369863013698634,,,0.08885374205236189,12.40974051010641,0.0
497,K2-190 b,Transit,0.121,0.016,-0.009000000000000001,Mayo et al. 2018,,,,Mayo et al. 2018,88.35700000000001,1.159,-2.329,Mayo et al. 2018,,,,,,,,Mayo et al. 2018,10.098858,0.0006190000000000001,-0.000643,Mayo et al. 2018,,,,Mayo et al. 2018,0.91,0.1,-0.06,Mayo et al. 2018,0.9046,0.0327,-0.0364,Mayo et al. 2018,[Fe/H],5631.0,K2,Space,,,0,0.10330578512396696,,6.248231235650606e-05,,0.0879120879120879,0.038193676763210255,,,0.08843036554510651,9.364748024145664,0.0
498,Kepler-1310 b,Transit,0.121,0.006999999999999999,-0.006,Berger et al. 2018,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,0.67933627,7.2e-07,-7.2e-07,Morton et al. 2016,,,,Morton et al. 2016,0.88,0.04,-0.04,Berger et al. 2018,0.91,0.054000000000000006,-0.057999999999999996,Morton et al. 2016,[Fe/H],5549.0,Kepler,Space,,,0,0.05371900826446281,,1.0598580287785902e-06,,0.045454545454545456,0.061538461538461535,,,0.014655637499363182,1.6049374483495105,0.0
499,Kepler-285 b,Transit,0.121,0.008,-0.006999999999999999,Berger et al. 2018,,,,Rowe et al. 2014,,,,Rowe et al. 2014,,,,,0.09,0.22,-0.22, Rowe et al. 2014,2.63385723,6.76e-06,-6.76e-06,Morton et al. 2016,0.036000000000000004,,,Rowe et al. 2014,0.86,0.04,-0.04,Berger et al. 2018,0.85,0.046,-0.057999999999999996,Morton et al. 2016,,5411.0,Kepler,Space,,,0,0.061983471074380174,,2.566577991776722e-06,,0.04651162790697674,0.0611764705882353,,,0.036000000000000004,4.0340392360660005,0.0
500,Kepler-26 d,Transit,0.121,0.005,-0.004,Berger et al. 2018,,,,Rowe et al. 2014,,,,Rowe et al. 2014,,,,,0.31,0.23,-0.23, Rowe et al. 2014,3.54391789,5.67e-06,-5.67e-06,Morton et al. 2016,0.03734,0.00172,-0.00172,Muirhead et al. 2012,0.6,0.02,-0.02,Morton et al. 2016,0.62,0.021,-0.031,Morton et al. 2016,[Fe/H],3914.0,Kepler,Space,,M0 V,0,0.037190082644628114,,1.5999242014041132e-06,0.046063202999464384,0.03333333333333333,0.04193548387096775,,,0.03734,5.997346368715084,0.0
501,Kepler-1459 b,Transit,0.121,0.009000000000000001,-0.006999999999999999,Morton et al. 2016,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,62.86862572,1.321e-05,-1.321e-05,Holczer et al. 2016,,,,Morton et al. 2016,0.74,0.02,-0.03,Morton et al. 2016,0.78,0.032,-0.038,Morton et al. 2016,[Fe/H],4828.0,Kepler,Space,,,0,0.06611570247933883,,2.101207056574419e-07,,0.03378378378378378,0.04487179487179487,,,0.2848318567375748,37.09308114693617,0.0
502,Kepler-176 b,Transit,0.121,0.011,-0.006999999999999999,Morton et al. 2016,,,,Rowe et al. 2014,,,,Rowe et al. 2014,,,,,0.07,0.23,-0.23, Rowe et al. 2014,5.43312937,5.39e-06,-5.39e-06,Holczer et al. 2016,0.057999999999999996,,,Rowe et al. 2014,0.8,0.04,-0.03,Berger et al. 2018,0.87,0.040999999999999995,-0.048,Morton et al. 2016,,5232.0,Kepler,Space,,,0,0.07438016528925621,,9.920617811462127e-07,,0.04375,0.05114942528735632,,,0.057999999999999996,6.986731843575419,0.0
503,Kepler-238 b,Transit,0.121,0.02,-0.018000000000000002,Morton et al. 2016,,,,Rowe et al. 2014,,,,Rowe et al. 2014,,,,,0.78,0.29,-0.29, Rowe et al. 2014,2.09086366,8.5e-06,-8.5e-06,Gajdo&scaron; et al. 2019,0.034,,,Rowe et al. 2014,1.63,0.1,-0.09,Berger et al. 2018,1.06,0.07400000000000001,-0.047,Morton et al. 2016,,5751.0,Kepler,Space,,,0,0.15702479338842978,,4.065305721560056e-06,,0.058282208588957066,0.0570754716981132,,,0.034,2.0101449772080753,0.0
504,Kepler-295 d,Transit,0.121,0.064,-0.064, Rowe et al. 2014,,,,Rowe et al. 2014,,,,Rowe et al. 2014,,,,,0.5,0.23,-0.23, Rowe et al. 2014,33.88451892,1.873e-05,-1.873e-05,Holczer et al. 2016,0.192,,,Rowe et al. 2014,0.86,0.08,-0.05,Morton et al. 2016,0.89,0.037000000000000005,-0.044000000000000004,Morton et al. 2016,,5603.0,Kepler,Space,,,0,0.5289256198347108,,5.527598029123796e-07,,0.07558139534883722,0.045505617977528084,,,0.192,21.51487592568533,0.0
505,Kepler-252 b,Transit,0.122,0.006,-0.008,Morton et al. 2016,,,,Rowe et al. 2014,,,,Rowe et al. 2014,,,,,0.78,0.28,-0.28, Rowe et al. 2014,6.66836145,4.41e-06,-4.41e-06,Holczer et al. 2016,0.057999999999999996,,,Rowe et al. 2014,0.55,0.03,-0.03, Rowe et al. 2014,0.7,0.035,-0.034,Morton et al. 2016,,4208.0,Kepler,Space,,M0 V,0,0.05737704918032788,,6.613318778633393e-07,,0.054545454545454536,0.04928571428571429,,,0.057999999999999996,10.16251904520061,0.0
506,Kepler-932 b,Transit,0.122,0.012,-0.009000000000000001,Morton et al. 2016,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,1.9214353,1.54e-06,-1.54e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.83,0.04,-0.03,Berger et al. 2018,0.87,0.057,-0.052000000000000005,Morton et al. 2016,[Fe/H],5331.0,Kepler,Space,,,0,0.08606557377049183,,8.014841821631986e-07,,0.04216867469879519,0.06264367816091954,,,0.028875176199445424,3.352606780914274,0.0
507,K2-203 b,Transit,0.122,0.025,-0.011,Mayo et al. 2018,,,,Mayo et al. 2018,88.43,1.152,-3.258,Mayo et al. 2018,,,,,,,,Mayo et al. 2018,9.695101,0.001285,-0.001334,Mayo et al. 2018,,,,Mayo et al. 2018,0.76,0.03,-0.02,Mayo et al. 2018,0.7935,0.0325,-0.0277,Mayo et al. 2018,[Fe/H],5000.0,K2,Space,,,0,0.1475409836065574,,0.00013506821641156704,,0.03289473684210526,0.03793320730938879,,,0.08237932913495634,10.445776445001446,0.0
